insert into cats (name, location, rack, mark) values ('Mitsubishi', 'Endeavor', 'EAT', 2866);
insert into cats (name, location, rack, mark) values ('Mitsubishi', 'Diamante', 'NSL', 2388);
insert into cats (name, location, rack, mark) values ('Pontiac', 'Bonneville', 'LNF', 3015);
insert into cats (name, location, rack, mark) values ('Jeep', 'Liberty', 'SRI', 1258);
insert into cats (name, location, rack, mark) values ('Volvo', 'C70', 'ORH', 3886);
insert into cats (name, location, rack, mark) values ('Saab', '900', 'TDA', 4142);
insert into cats (name, location, rack, mark) values ('Volkswagen', 'Golf', 'GCN', 3092);
insert into cats (name, location, rack, mark) values ('Chevrolet', 'K5 Blazer', 'QAC', 2057);
insert into cats (name, location, rack, mark) values ('Mitsubishi', 'Truck', 'IXW', 3154);
insert into cats (name, location, rack, mark) values ('BMW', '3 Series', 'HKG', 1877);
insert into cats (name, location, rack, mark) values ('Chevrolet', 'Corvette', 'GMM', 4463);
insert into cats (name, location, rack, mark) values ('Oldsmobile', '98', 'CRU', 3268);
insert into cats (name, location, rack, mark) values ('Buick', 'Century', 'CZB', 2532);
insert into cats (name, location, rack, mark) values ('BMW', '5 Series', 'FPR', 2483);
insert into cats (name, location, rack, mark) values ('Suzuki', 'SJ', 'INV', 1252);
insert into cats (name, location, rack, mark) values ('Suzuki', 'XL7', 'RMU', 4731);
insert into cats (name, location, rack, mark) values ('Chrysler', 'New Yorker', 'STY', 3067);
insert into cats (name, location, rack, mark) values ('Chevrolet', 'Impala', 'WAO', 2795);
insert into cats (name, location, rack, mark) values ('Nissan', 'Pathfinder', 'ONJ', 4505);
insert into cats (name, location, rack, mark) values ('Chrysler', 'PT Cruiser', 'ROO', 3240);
insert into cats (name, location, rack, mark) values ('Suzuki', 'Sidekick', 'KIK', 2945);
insert into cats (name, location, rack, mark) values ('Toyota', 'Yaris', 'ENU', 3029);
insert into cats (name, location, rack, mark) values ('Volvo', 'S40', 'SID', 3225);
insert into cats (name, location, rack, mark) values ('Smart', 'Fortwo', 'YSU', 4587);
insert into cats (name, location, rack, mark) values ('Infiniti', 'M', 'ARP', 4978);
insert into cats (name, location, rack, mark) values ('Volkswagen', 'Touareg', 'BMF', 4864);
insert into cats (name, location, rack, mark) values ('Hyundai', 'Entourage', 'YNT', 3704);
insert into cats (name, location, rack, mark) values ('Volkswagen', 'GLI', 'AZB', 2788);
insert into cats (name, location, rack, mark) values ('Dodge', 'Ram 3500 Club', 'DAS', 1724);
insert into cats (name, location, rack, mark) values ('Mercury', 'Grand Marquis', 'JYV', 1499);
insert into cats (name, location, rack, mark) values ('Mercedes-Benz', 'W201', 'AYP', 4616);
insert into cats (name, location, rack, mark) values ('Subaru', 'Loyale', 'SGZ', 4970);
insert into cats (name, location, rack, mark) values ('Chrysler', 'Cirrus', 'WEI', 3947);
insert into cats (name, location, rack, mark) values ('Ford', 'Mustang', 'LIR', 3061);
insert into cats (name, location, rack, mark) values ('Mercedes-Benz', 'E-Class', 'AKI', 2792);
insert into cats (name, location, rack, mark) values ('Dodge', 'Ram 1500', 'STS', 2336);
insert into cats (name, location, rack, mark) values ('Mercury', 'Grand Marquis', 'MXL', 3621);
insert into cats (name, location, rack, mark) values ('Acura', 'RL', 'DME', 4371);
insert into cats (name, location, rack, mark) values ('Lotus', 'Esprit', 'DOI', 1157);
insert into cats (name, location, rack, mark) values ('Ford', 'Taurus', 'LAI', 1282);
insert into cats (name, location, rack, mark) values ('Bentley', 'Continental GT', 'EWK', 4319);
insert into cats (name, location, rack, mark) values ('Chevrolet', 'Corvette', 'PDD', 4467);
insert into cats (name, location, rack, mark) values ('Mercury', 'Villager', 'PPU', 1628);
insert into cats (name, location, rack, mark) values ('Mercury', 'Sable', 'ZIC', 2046);
insert into cats (name, location, rack, mark) values ('Jeep', 'Wrangler', 'CWF', 4701);
insert into cats (name, location, rack, mark) values ('Ford', 'ZX2', 'ATM', 4869);
insert into cats (name, location, rack, mark) values ('Chevrolet', 'Suburban 1500', 'CZT', 2197);
insert into cats (name, location, rack, mark) values ('Land Rover', 'Range Rover', 'PBG', 1382);
insert into cats (name, location, rack, mark) values ('GMC', 'Suburban 1500', 'OIM', 1252);
insert into cats (name, location, rack, mark) values ('GMC', 'Yukon', 'OHS', 3571);
insert into cats (name, location, rack, mark) values ('Lincoln', 'MKS', 'ICI', 4051);
insert into cats (name, location, rack, mark) values ('Ford', 'E-Series', 'STN', 2565);
insert into cats (name, location, rack, mark) values ('Suzuki', 'Sidekick', 'KLU', 2993);
insert into cats (name, location, rack, mark) values ('Kia', 'Rio', 'EBH', 1648);
insert into cats (name, location, rack, mark) values ('Buick', 'LeSabre', 'MQZ', 2426);
insert into cats (name, location, rack, mark) values ('Dodge', 'Charger', 'BCL', 1981);
insert into cats (name, location, rack, mark) values ('Audi', 'Q7', 'WBR', 3394);
insert into cats (name, location, rack, mark) values ('Ford', 'Explorer', 'CKY', 1956);
insert into cats (name, location, rack, mark) values ('Ford', 'Taurus', 'PCO', 2598);
insert into cats (name, location, rack, mark) values ('Chevrolet', 'Express', 'IMA', 3276);
insert into cats (name, location, rack, mark) values ('Audi', '100', 'SZK', 1883);
insert into cats (name, location, rack, mark) values ('Ford', 'Expedition', 'VOK', 1935);
insert into cats (name, location, rack, mark) values ('Ford', 'Aspire', 'BHQ', 1525);
insert into cats (name, location, rack, mark) values ('Dodge', 'Viper RT/10', 'DYG', 2058);
insert into cats (name, location, rack, mark) values ('Infiniti', 'FX', 'GID', 4485);
insert into cats (name, location, rack, mark) values ('Land Rover', 'Freelander', 'PMH', 3214);
insert into cats (name, location, rack, mark) values ('Pontiac', 'Grand Prix', 'DYS', 4680);
insert into cats (name, location, rack, mark) values ('Ford', 'Mustang', 'HOX', 1805);
insert into cats (name, location, rack, mark) values ('GMC', 'Suburban 1500', 'YTJ', 3358);
insert into cats (name, location, rack, mark) values ('Nissan', 'GT-R', 'MRC', 3120);
insert into cats (name, location, rack, mark) values ('Ford', 'Bronco', 'BOP', 2840);
insert into cats (name, location, rack, mark) values ('Audi', 'A6', 'JHB', 1988);
insert into cats (name, location, rack, mark) values ('Ford', 'Econoline E250', 'AKX', 1226);
insert into cats (name, location, rack, mark) values ('Mitsubishi', 'Eclipse', 'YUS', 2590);
insert into cats (name, location, rack, mark) values ('Chevrolet', 'G-Series G30', 'OPB', 3045);
insert into cats (name, location, rack, mark) values ('Chrysler', 'Sebring', 'BEN', 2405);
insert into cats (name, location, rack, mark) values ('Mitsubishi', 'Chariot', 'HTT', 3002);
insert into cats (name, location, rack, mark) values ('Porsche', '928', 'KKG', 2280);
insert into cats (name, location, rack, mark) values ('Mercedes-Benz', '190E', 'MFN', 1505);
insert into cats (name, location, rack, mark) values ('Land Rover', 'Freelander', 'YKN', 4912);
insert into cats (name, location, rack, mark) values ('Honda', 'Odyssey', 'LVP', 3400);
insert into cats (name, location, rack, mark) values ('Ford', 'Tempo', 'AWM', 2032);
insert into cats (name, location, rack, mark) values ('Cadillac', 'STS-V', 'BMV', 4021);
insert into cats (name, location, rack, mark) values ('Toyota', 'Avalon', 'BXZ', 3627);
insert into cats (name, location, rack, mark) values ('Ford', 'Explorer Sport Trac', 'IVA', 4227);
insert into cats (name, location, rack, mark) values ('Suzuki', 'SJ', 'NRM', 4060);
insert into cats (name, location, rack, mark) values ('Suzuki', 'Grand Vitara', 'SAK', 2211);
insert into cats (name, location, rack, mark) values ('Volvo', '850', 'BUC', 2276);
insert into cats (name, location, rack, mark) values ('Mitsubishi', 'Starion', 'KLW', 1591);
insert into cats (name, location, rack, mark) values ('MG', 'MGB', 'FEJ', 4172);
insert into cats (name, location, rack, mark) values ('Nissan', 'Murano', 'ZLX', 1044);
insert into cats (name, location, rack, mark) values ('Land Rover', 'Range Rover', 'WTO', 3613);
insert into cats (name, location, rack, mark) values ('Ford', 'E-Series', 'CUL', 1243);
insert into cats (name, location, rack, mark) values ('Acura', 'Legend', 'KEB', 2643);
insert into cats (name, location, rack, mark) values ('Mazda', 'RX-7', 'GSJ', 4398);
insert into cats (name, location, rack, mark) values ('Chevrolet', 'Equinox', 'KHM', 4551);
insert into cats (name, location, rack, mark) values ('GMC', 'Vandura 2500', 'FYU', 1388);
insert into cats (name, location, rack, mark) values ('Volkswagen', 'Golf', 'IGG', 4069);
insert into cats (name, location, rack, mark) values ('Nissan', 'Pathfinder', 'MCK', 1213);
insert into cats (name, location, rack, mark) values ('Audi', 'Coupe GT', 'RTN', 3870);
insert into cats (name, location, rack, mark) values ('GMC', 'Yukon XL 1500', 'KUT', 1771);
insert into cats (name, location, rack, mark) values ('Ferrari', '458 Italia', 'PUC', 4437);
insert into cats (name, location, rack, mark) values ('Ferrari', '612 Scaglietti', 'SQC', 1210);
insert into cats (name, location, rack, mark) values ('Dodge', 'Spirit', 'SWM', 1249);
insert into cats (name, location, rack, mark) values ('Lincoln', 'Mark VIII', 'ANI', 4451);
insert into cats (name, location, rack, mark) values ('Land Rover', 'Discovery', 'SGM', 2254);
insert into cats (name, location, rack, mark) values ('Mercedes-Benz', 'G-Class', 'RAS', 3875);
insert into cats (name, location, rack, mark) values ('Pontiac', 'Grand Am', 'LMA', 2471);
insert into cats (name, location, rack, mark) values ('Cadillac', 'Escalade', 'EYR', 1784);
insert into cats (name, location, rack, mark) values ('Dodge', 'Caravan', 'DCA', 2278);
insert into cats (name, location, rack, mark) values ('Subaru', 'XT', 'NQN', 3279);
insert into cats (name, location, rack, mark) values ('Mitsubishi', 'Eclipse', 'LNH', 4082);
insert into cats (name, location, rack, mark) values ('Ford', 'Escort', 'AIP', 4374);
insert into cats (name, location, rack, mark) values ('Chevrolet', 'Suburban 2500', 'UIP', 1620);
insert into cats (name, location, rack, mark) values ('Cadillac', 'Seville', 'SGR', 1114);
insert into cats (name, location, rack, mark) values ('Infiniti', 'G', 'YSU', 3481);
insert into cats (name, location, rack, mark) values ('Toyota', 'Sequoia', 'WLS', 1396);
insert into cats (name, location, rack, mark) values ('Buick', 'Park Avenue', 'AMT', 2900);
insert into cats (name, location, rack, mark) values ('Ferrari', 'F430', 'IAS', 2002);
insert into cats (name, location, rack, mark) values ('GMC', 'Acadia', 'KPM', 1704);
insert into cats (name, location, rack, mark) values ('Volkswagen', 'Jetta', 'FFU', 1635);
insert into cats (name, location, rack, mark) values ('Shelby', 'GT350', 'HAB', 2782);
insert into cats (name, location, rack, mark) values ('Oldsmobile', '88', 'LBF', 2140);
insert into cats (name, location, rack, mark) values ('Chevrolet', 'Express', 'RUY', 1618);
insert into cats (name, location, rack, mark) values ('Maserati', 'GranSport', 'ENF', 1847);
insert into cats (name, location, rack, mark) values ('Toyota', 'Echo', 'DAT', 4807);
insert into cats (name, location, rack, mark) values ('Mercedes-Benz', 'S-Class', 'KTP', 4334);
insert into cats (name, location, rack, mark) values ('Mazda', '929', 'AGT', 4070);
insert into cats (name, location, rack, mark) values ('Chrysler', '300M', 'THQ', 2684);
insert into cats (name, location, rack, mark) values ('Mitsubishi', 'Diamante', 'FYJ', 3345);
insert into cats (name, location, rack, mark) values ('Hyundai', 'Sonata', 'GSE', 2820);
insert into cats (name, location, rack, mark) values ('Audi', 'S6', 'EIH', 1756);
insert into cats (name, location, rack, mark) values ('Subaru', 'Legacy', 'KXR', 1312);
insert into cats (name, location, rack, mark) values ('Mitsubishi', 'Truck', 'ZFM', 1644);
insert into cats (name, location, rack, mark) values ('Suzuki', 'Sidekick', 'ZVA', 1168);
insert into cats (name, location, rack, mark) values ('Cadillac', 'CTS', 'KAP', 2922);
insert into cats (name, location, rack, mark) values ('Cadillac', 'Escalade ESV', 'MVB', 3687);
insert into cats (name, location, rack, mark) values ('Mercedes-Benz', 'E-Class', 'AIG', 1577);
insert into cats (name, location, rack, mark) values ('Mitsubishi', 'Galant', 'UMD', 2992);
insert into cats (name, location, rack, mark) values ('Lotus', 'Esprit', 'YBH', 4468);
insert into cats (name, location, rack, mark) values ('Audi', 'A8', 'TCR', 4443);
insert into cats (name, location, rack, mark) values ('Lincoln', 'MKS', 'KNE', 2293);
insert into cats (name, location, rack, mark) values ('Mercury', 'Grand Marquis', 'LGF', 2456);
insert into cats (name, location, rack, mark) values ('Ford', 'F250', 'MGD', 1151);
insert into cats (name, location, rack, mark) values ('Dodge', 'Neon', 'CVI', 2872);
insert into cats (name, location, rack, mark) values ('Chrysler', 'Town & Country', 'IXJ', 1695);
insert into cats (name, location, rack, mark) values ('Chevrolet', 'Caprice', 'AST', 1801);
insert into cats (name, location, rack, mark) values ('Lexus', 'GX', 'MWQ', 3626);
insert into cats (name, location, rack, mark) values ('Mercury', 'Grand Marquis', 'SBW', 1603);
insert into cats (name, location, rack, mark) values ('Buick', 'Regal', 'HGO', 2985);
insert into cats (name, location, rack, mark) values ('Cadillac', 'Escalade EXT', 'RBW', 4610);
insert into cats (name, location, rack, mark) values ('Subaru', 'Brat', 'LNC', 4756);
insert into cats (name, location, rack, mark) values ('Mercedes-Benz', 'SLS-Class', 'FOT', 2209);
insert into cats (name, location, rack, mark) values ('Chrysler', 'LeBaron', 'DWD', 1393);
insert into cats (name, location, rack, mark) values ('Buick', 'LeSabre', 'EYS', 2463);
insert into cats (name, location, rack, mark) values ('Mercedes-Benz', '400SE', 'HTV', 2936);
insert into cats (name, location, rack, mark) values ('Ram', 'C/V', 'ZCL', 2873);
insert into cats (name, location, rack, mark) values ('Mercedes-Benz', 'SL-Class', 'MPV', 3114);
